ID,CollectorID,Start,End,DateTimePark,Lot,OtherLot,ResidenceBerk,ResidencenonBerk,Destination,OtherDest,boating,swim,wildlifeviewing,sightseeingphoto,dining,dogwalking,charterfishing,shorelinefishing,cruise,picnic,playground,biking,walking,running,OtherUse,Freq,RareFreq,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Duration,GroupNumber,NormallyPark,Near,How,HowFar,Cancel,IdeaBike,IdeaUberLyft,IdeaMoBusStops,IdeaMoBusTrips,IdeaRealTime,IdeaShuttle,IdeaShared,IdeaPaid,IdeaValet,IdeaDriveOnly,OtherIdea,Comments,Age,RaceEthnicity,OtherRE,HispLat,Income,inclevel,inclow,inc2,parkdate,DATE,TIME,scove,ecove,skatesn,olot,de,spincir,spinway,marinb,jk,lm,sw199,swst,fg,launch,shore,southfee,south,north,area,location
114688612139,432142817,2024-09-13T17:40:53Z,2024-09-13T17:42:15Z,08/27/2024 06:35 PM,Seawall Drive (Street),NA,From Outside Berkeley (please specify the City/Town),Albany,Other (specify),seawall,NA,NA,NA,sightseeing/photography,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A few times a month,NA,NA,NA,NA,NA,NA,NA,NA,2-4 hours,Drove Alone,Yes,Yes,I found parking quickly near my destination.,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,n/a,40-49,Asian alone,NA,NA,NA,NA,NA,NA,2024-08-27T13:35:00Z,2024-08-27,06:35 AM,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,1,0,south,Seawall Drive (Street)
114688611618,432142817,2024-09-13T17:39:30Z,2024-09-13T17:40:49Z,08/27/2024 06:15 PM,Other (please specify),Shorebird park,East of Shattuck Street,NA,Other (specify),N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,playground,NA,NA,NA,NA,A few times a month,NA,NA,NA,NA,NA,NA,NA,NA,2-4 hours,2,Yes,Yes,I found parking quickly near my destination.,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,n/a,30-39,White alone,NA,NA,NA,NA,NA,NA,2024-08-27T13:15:00Z,2024-08-27,06:15 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,other,Other (please specify)
114688611141,432142817,2024-09-13T17:37:55Z,2024-09-13T17:39:25Z,08/27/2024 05:51 PM,Other (please specify),Shorebird park,From Outside Berkeley (please specify the City/Town),Richmond,Shorebird Nature Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,picnicking,NA,NA,NA,NA,NA,For special events,NA,NA,NA,NA,NA,NA,NA,NA,4-8 hours,NA,Yes,Yes,I found parking quickly near my destination.,6,No,Secure Bike Parking and Improved Bike Paths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n/a,18-29,White alone,NA,NA,NA,NA,NA,NA,2024-08-27T12:51:00Z,2024-08-27,05:51 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,other,Other (please specify)
114688610566,432142817,2024-09-13T17:36:31Z,2024-09-13T17:37:50Z,08/27/2024 05:45 PM,Other (please specify),N/A,West of Shattuck Street,NA,Other (specify),seawall,NA,NA,NA,NA,NA,NA,NA,shoreline fishing,NA,NA,NA,NA,NA,NA,NA,A few times a week,NA,NA,NA,NA,NA,NA,NA,NA,4-8 hours,Drove Alone,Yes,Yes,I found parking quickly near my destination.,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,n/a,50-59,Native Hawaiian and Other Pacific Islander alone,NA,NA,NA,NA,NA,NA,2024-08-27T12:45:00Z,2024-08-27,05:45 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,other,Other (please specify)
114688610116,432142817,2024-09-13T17:35:04Z,2024-09-13T17:36:27Z,08/27/2024 05:45 PM,Other (please specify),seawall,From Outside Berkeley (please specify the City/Town),Oakland,Other (specify),seawall,NA,NA,NA,NA,NA,NA,NA,shoreline fishing,NA,NA,NA,NA,NA,NA,NA,A few times a week,NA,NA,NA,NA,NA,NA,NA,NA,4-8 hours,Drove Alone,Yes,Yes,I found parking quickly near my destination.,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,n/a,60-69,Asian alone,NA,NA,NA,NA,NA,NA,2024-08-27T12:45:00Z,2024-08-27,05:45 AM,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,0,1,0,south,Seawall Drive (Street)
114688609519,432142817,2024-09-13T17:33:33Z,2024-09-13T17:34:56Z,08/27/2024 05:10 PM,Other (please specify),Skates,From Outside Berkeley (please specify the City/Town),Oakland,Other (specify),Skates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skates,For special events,NA,NA,NA,NA,NA,NA,NA,NA,2-4 hours,2,Yes,Yes,I found parking quickly near my destination.,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,n/a,50-59,White alone,NA,NA,NA,NA,NA,NA,2024-08-27T12:10:00Z,2024-08-27,05:10 AM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,1,0,south,Skates/N Lot
114688609046,432142817,2024-09-13T17:32:20Z,2024-09-13T17:33:29Z,08/27/2024 04:58 PM,Other (please specify),Skates,From Outside Berkeley (please specify the City/Town),Oakland,Other (specify),N/A,NA,NA,NA,NA,NA,dog walking,NA,NA,NA,NA,NA,NA,NA,NA,NA,A few times a month,NA,NA,NA,NA,NA,NA,NA,NA,2-4 hours,1,Yes,Yes,I found a parking space quickly that was away from my destination.,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,I will only drive to Waterfront,NA,n/a,30-39,Black or African American alone,NA,NA,NA,NA,NA,NA,2024-08-27T11:58:00Z,2024-08-27,04:58 AM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,1,0,south,Skates/N Lot
114688608598,432142817,2024-09-13T17:31:04Z,2024-09-13T17:32:13Z,08/27/2024 04:31 PM,Other (please specify),Skates,West of Shattuck Street,NA,Other (specify),Walking around,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,walking,NA,NA,A few times a month,NA,NA,NA,NA,NA,NA,NA,NA,2-4 hours,2,Yes,Yes,I found parking quickly near my destination.,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,n/a,18-29,White alone,NA,NA,NA,NA,NA,NA,2024-08-27T11:31:00Z,2024-08-27,04:31 AM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,1,0,south,Skates/N Lot
114688608075,432142817,2024-09-13T17:29:35Z,2024-09-13T17:31:00Z,08/27/2024 04:10 PM,Other (please specify),Skates,From Outside Berkeley (please specify the City/Town),Emeryville,Other (specify),Skates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Once a month,NA,NA,NA,NA,NA,NA,NA,NA,2-4 hours,1,Yes,Yes,I found parking quickly near my destination.,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,n/a,60-69,Black or African American alone,NA,NA,NA,NA,NA,NA,2024-08-27T11:10:00Z,2024-08-27,04:10 AM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,1,0,south,Skates/N Lot
114688607454,432142817,2024-09-13T17:27:11Z,2024-09-13T17:29:17Z,08/27/2024 03:55 PM,Other (please specify),4th street and walked to the marina,From Outside Berkeley (please specify the City/Town),Kensington,Other (specify),N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,walking,NA,NA,Less than once a month,NA,NA,NA,NA,NA,NA,NA,NA,2-4 hours,1,Yes,Yes,I found parking quickly near my destination.,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Walk,N/A,60-69,White alone,NA,NA,NA,NA,NA,NA,2024-08-27T10:55:00Z,2024-08-27,03:55 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,other,Other (please specify)
